,Total_Stops,Additional_Info,Route1,Route2,Route3,Route4,Route5,Air Asia,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Banglore,Chennai,Delhi,Kolkata,Mumbai,Banglore,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute
0,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.4096851379305773,3,24,22,20,1,10,170,0.04863658164745592
1,2,8,2,25,1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.08528140259933702,5,1,5,50,13,15,445,0.020099233328023377
2,2,8,3,32,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.079085599583032,6,9,9,25,4,25,1140,0.008367035393890178
3,1,8,2,34,3,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.49438301356669045,5,12,18,5,23,30,325,0.026878044311088888
4,1,8,0,34,8,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9954693157715098,3,1,16,50,21,35,285,0.03331840299187335
5,0,8,2,5,29,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1.4217861615055294,6,24,9,0,11,25,145,0.056979605820461666
6,1,5,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6386202669583404,3,12,18,55,10,25,930,0.010014643786483531
7,1,8,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.005114765304966,3,1,8,0,5,5,1265,0.007913866136522412
8,1,5,0,7,8,13,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6386202669583404,3,12,8,55,10,25,1530,0.00608733249766646
9,1,8,3,7,6,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.14666138954657879,5,27,11,25,19,15,470,0.019281991866399548
10,1,8,3,6,6,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.20969146580298717,6,1,9,45,23,0,795,0.01143988053883932
11,0,8,2,5,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1.2751741962845646,4,18,20,20,22,55,155,0.05378625572441907
12,0,8,4,8,29,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1.0564785580493856,6,24,11,40,13,55,135,0.06258137772893664
13,1,5,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3692960816042787,5,9,21,10,9,20,730,0.012570086192019995
14,0,8,2,5,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.999801723370917,4,24,17,15,19,50,155,0.054692982718738015
15,2,8,3,0,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0972077077083007,3,3,16,40,19,15,1595,0.005985999613992086
16,1,8,3,37,6,13,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.620605611070681,4,15,8,45,13,15,270,0.032114606634156134
17,1,5,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.4871266675083121,6,12,14,0,12,35,1355,0.006816457914129679
18,2,8,3,9,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.007070529549762,6,12,20,15,19,15,1380,0.006885265071987509
19,1,5,3,7,6,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9350433474235934,5,27,16,0,12,35,1235,0.0076638907432916075
20,1,8,3,7,6,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.74437201662326,3,6,14,10,19,20,310,0.03186440192033885
21,1,8,0,11,8,13,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.2749445495462254,3,21,22,0,13,20,920,0.009616695516819755
22,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1.386698351984509,4,3,4,0,6,50,170,0.048705592445426625
23,0,8,0,13,29,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.9920693065897003,5,1,18,55,21,50,175,0.04846490707661155
24,1,5,2,7,3,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.061140203436358335,5,6,18,55,8,15,800,0.01119559980999989
25,2,8,3,21,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9939958977651787,6,9,21,25,12,35,910,0.010434058087766592
26,1,8,3,32,6,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.05672340702712582,6,1,21,50,3,35,345,0.026135171757436494
