,Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins
0,IndiGo,Banglore,New Delhi,BLR ? DEL,22:20,01:10,2h 50m,non-stop,No info,3897.0,3,24,22,20,1,10,170
1,Air India,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:15,7h 25m,2 stops,No info,7662.0,5,1,5,50,13,15,445
2,Jet Airways,Delhi,Cochin,DEL ? LKO ? BOM ? COK,09:25,04:25,19h,2 stops,No info,13882.0,6,9,9,25,4,25,1140
3,IndiGo,Kolkata,Banglore,CCU ? NAG ? BLR,18:05,23:30,5h 25m,1 stop,No info,6218.0,5,12,18,5,23,30,325
4,IndiGo,Banglore,New Delhi,BLR ? NAG ? DEL,16:50,21:35,4h 45m,1 stop,No info,13302.0,3,1,16,50,21,35,285
5,SpiceJet,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,3873.0,6,24,9,0,11,25,145
6,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,18:55,10:25,15h 30m,1 stop,In-flight meal not included,11087.0,3,12,18,55,10,25,930
7,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,05:05,21h 5m,1 stop,No info,22270.0,3,1,8,0,5,5,1265
8,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,10:25,25h 30m,1 stop,In-flight meal not included,11087.0,3,12,8,55,10,25,1530
9,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,7h 50m,1 stop,No info,8625.0,5,27,11,25,19,15,470
10,Air India,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,13h 15m,1 stop,No info,8907.0,6,1,9,45,23,0,795
11,IndiGo,Kolkata,Banglore,CCU ? BLR,20:20,22:55,2h 35m,non-stop,No info,4174.0,4,18,20,20,22,55,155
12,Air India,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0,6,24,11,40,13,55,135
13,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20,12h 10m,1 stop,In-flight meal not included,9663.0,5,9,21,10,9,20,730
14,IndiGo,Kolkata,Banglore,CCU ? BLR,17:15,19:50,2h 35m,non-stop,No info,4804.0,4,24,17,15,19,50,155
