,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute,Airline_encoded,Source_encoded,Destination_encoded,Total_Stops_encoded,Additional_Info_encoded,Route_1_encoded,Route_2_encoded,Route_3_encoded,Route_4_encoded,Route_5_encoded,Route_6_encoded
0,3897,3,24,22,20,1,10,170,22.923529411764704,3,0,5,4,8,0,10,21,10,4,1
1,7662,5,1,5,50,13,15,445,17.217977528089886,1,3,0,1,8,2,20,1,3,4,1
2,13882,6,9,9,25,4,25,1140,12.177192982456141,4,2,1,1,8,3,27,4,5,4,1
3,6218,5,12,18,5,23,30,325,19.13230769230769,3,3,0,0,8,2,29,3,10,4,1
4,13302,3,1,16,50,21,35,285,46.67368421052632,3,0,5,0,8,0,29,7,10,4,1
5,3873,6,24,9,0,11,25,145,26.71034482758621,8,3,0,4,8,2,5,21,10,4,1
6,11087,3,12,18,55,10,25,930,11.921505376344086,4,0,5,0,5,0,6,7,10,4,1
7,22270,3,1,8,0,5,5,1265,17.604743083003953,4,0,5,0,8,0,6,7,10,4,1
8,11087,3,12,8,55,10,25,1530,7.24640522875817,4,0,5,0,5,0,6,7,10,4,1
9,8625,5,27,11,25,19,15,470,18.351063829787233,6,2,1,0,8,3,6,6,10,4,1
10,8907,6,1,9,45,23,0,795,11.20377358490566,1,2,1,0,8,3,5,6,10,4,1
11,4174,4,18,20,20,22,55,155,26.929032258064517,3,3,0,4,8,2,5,21,10,4,1
12,4667,6,24,11,40,13,55,135,34.57037037037037,1,1,4,4,8,4,7,21,10,4,1
13,9663,5,9,21,10,9,20,730,13.236986301369862,4,3,0,0,5,2,6,3,10,4,1
14,4804,4,24,17,15,19,50,155,30.993548387096773,3,3,0,4,8,2,5,21,10,4,1
15,14011,3,3,16,40,19,15,1595,8.784326018808777,1,2,1,1,8,3,0,4,5,4,1
16,5830,4,15,8,45,13,15,270,21.59259259259259,8,2,1,0,8,3,32,6,10,4,1
17,10262,6,12,14,0,12,35,1355,7.573431734317343,4,2,1,0,5,3,6,6,10,4,1
18,13381,6,12,20,15,19,15,1380,9.696376811594202,1,2,1,1,8,3,7,4,5,4,1
19,12898,5,27,16,0,12,35,1235,10.443724696356275,4,2,1,0,5,3,6,6,10,4,1
20,19495,3,6,14,10,19,20,310,62.88709677419355,2,2,1,0,8,3,6,6,10,4,1
21,6955,3,21,22,0,13,20,920,7.559782608695652,1,0,5,0,8,0,8,7,10,4,1
22,3943,4,3,4,0,6,50,170,23.194117647058825,3,0,2,4,8,0,10,21,10,4,1
23,4823,5,1,18,55,21,50,175,27.56,3,0,2,4,8,0,10,21,10,4,1
24,7757,5,6,18,55,8,15,800,9.69625,4,3,0,0,5,2,6,3,10,4,1
25,13292,6,9,21,25,12,35,910,14.606593406593406,4,2,1,1,8,3,16,4,5,4,1
26,8238,6,1,21,50,3,35,345,23.878260869565217,3,2,1,0,8,3,27,6,10,4,1
