,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6
0,IndiGo,Banglore,New Delhi,non-stop,No info,3897,3,24,22,20,1,10,170,22.923529411764704,BLR,DEL,None,None,None,None
1,Air India,Kolkata,Banglore,2 stops,No info,7662,5,1,5,50,13,15,445,17.217977528089886,CCU,IXR,BBI,BLR,None,None
2,Jet Airways,Delhi,Cochin,2 stops,No info,13882,6,9,9,25,4,25,1140,12.177192982456141,DEL,LKO,BOM,COK,None,None
3,IndiGo,Kolkata,Banglore,1 stop,No info,6218,5,12,18,5,23,30,325,19.13230769230769,CCU,NAG,BLR,None,None,None
4,IndiGo,Banglore,New Delhi,1 stop,No info,13302,3,1,16,50,21,35,285,46.67368421052632,BLR,NAG,DEL,None,None,None
5,SpiceJet,Kolkata,Banglore,non-stop,No info,3873,6,24,9,0,11,25,145,26.71034482758621,CCU,BLR,None,None,None,None
6,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,3,12,18,55,10,25,930,11.921505376344086,BLR,BOM,DEL,None,None,None
7,Jet Airways,Banglore,New Delhi,1 stop,No info,22270,3,1,8,0,5,5,1265,17.604743083003953,BLR,BOM,DEL,None,None,None
8,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,3,12,8,55,10,25,1530,7.24640522875817,BLR,BOM,DEL,None,None,None
9,Multiple carriers,Delhi,Cochin,1 stop,No info,8625,5,27,11,25,19,15,470,18.351063829787233,DEL,BOM,COK,None,None,None
10,Air India,Delhi,Cochin,1 stop,No info,8907,6,1,9,45,23,0,795,11.20377358490566,DEL,BLR,COK,None,None,None
11,IndiGo,Kolkata,Banglore,non-stop,No info,4174,4,18,20,20,22,55,155,26.929032258064517,CCU,BLR,None,None,None,None
12,Air India,Chennai,Kolkata,non-stop,No info,4667,6,24,11,40,13,55,135,34.57037037037037,MAA,CCU,None,None,None,None
13,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,5,9,21,10,9,20,730,13.236986301369862,CCU,BOM,BLR,None,None,None
14,IndiGo,Kolkata,Banglore,non-stop,No info,4804,4,24,17,15,19,50,155,30.993548387096773,CCU,BLR,None,None,None,None
15,Air India,Delhi,Cochin,2 stops,No info,14011,3,3,16,40,19,15,1595,8.784326018808777,DEL,AMD,BOM,COK,None,None
16,SpiceJet,Delhi,Cochin,1 stop,No info,5830,4,15,8,45,13,15,270,21.59259259259259,DEL,PNQ,COK,None,None,None
17,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,12,14,0,12,35,1355,7.573431734317343,DEL,BOM,COK,None,None,None
18,Air India,Delhi,Cochin,2 stops,No info,13381,6,12,20,15,19,15,1380,9.696376811594202,DEL,CCU,BOM,COK,None,None
19,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,5,27,16,0,12,35,1235,10.443724696356275,DEL,BOM,COK,None,None,None
