,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute
0,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,3897,3,24,22,20,1,10,170,22.923529411764704
1,Air India,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,2 stops,No info,7662,5,1,5,50,13,15,445,17.217977528089886
2,Jet Airways,Delhi,Cochin,DEL ? LKO ? BOM ? COK,2 stops,No info,13882,6,9,9,25,4,25,1140,12.177192982456141
3,IndiGo,Kolkata,Banglore,CCU ? NAG ? BLR,1 stop,No info,6218,5,12,18,5,23,30,325,19.13230769230769
4,IndiGo,Banglore,New Delhi,BLR ? NAG ? DEL,1 stop,No info,13302,3,1,16,50,21,35,285,46.67368421052632
5,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3873,6,24,9,0,11,25,145,26.71034482758621
6,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,11087,3,12,18,55,10,25,930,11.921505376344086
7,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,22270,3,1,8,0,5,5,1265,17.604743083003953
8,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,11087,3,12,8,55,10,25,1530,7.24640522875817
9,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,8625,5,27,11,25,19,15,470,18.351063829787233
10,Air India,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,8907,6,1,9,45,23,0,795,11.20377358490566
11,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4174,4,18,20,20,22,55,155,26.929032258064517
12,Air India,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4667,6,24,11,40,13,55,135,34.57037037037037
13,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,9,21,10,9,20,730,13.236986301369862
14,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,4,24,17,15,19,50,155,30.993548387096773
15,Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,14011,3,3,16,40,19,15,1595,8.784326018808777
16,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,1 stop,No info,5830,4,15,8,45,13,15,270,21.59259259259259
17,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,12,14,0,12,35,1355,7.573431734317343
18,Air India,Delhi,Cochin,DEL ? CCU ? BOM ? COK,2 stops,No info,13381,6,12,20,15,19,15,1380,9.696376811594202
19,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12898,5,27,16,0,12,35,1235,10.443724696356275
20,GoAir,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,19495,3,6,14,10,19,20,310,62.88709677419355
21,Air India,Banglore,New Delhi,BLR ? COK ? DEL,1 stop,No info,6955,3,21,22,0,13,20,920,7.559782608695652
22,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,4,3,4,0,6,50,170,23.194117647058825
23,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,4823,5,1,18,55,21,50,175,27.56
24,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,7757,5,6,18,55,8,15,800,9.69625
25,Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,2 stops,No info,13292,6,9,21,25,12,35,910,14.606593406593406
26,IndiGo,Delhi,Cochin,DEL ? LKO ? COK,1 stop,No info,8238,6,1,21,50,3,35,345,23.878260869565217
27,GoAir,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7682,5,15,7,0,12,55,355,21.63943661971831
28,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4668,6,18,9,45,12,35,170,27.458823529411763
29,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3687,6,15,7,5,9,20,135,27.31111111111111
30,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3687,6,18,7,5,9,20,135,27.31111111111111
31,Air India,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,2 stops,No info,13227,5,1,9,50,23,15,805,16.431055900621118
32,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,4423,4,6,4,0,6,50,170,26.01764705882353
33,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,2 stops,In-flight meal not included,10919,6,15,14,35,12,35,1320,8.271969696969697
34,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,5,18,7,5,12,35,330,37.49393939393939
35,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5894,6,27,10,35,21,0,625,9.4304
36,SpiceJet,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,4649,5,21,15,5,20,20,315,14.75873015873016
37,Air India,Kolkata,Banglore,CCU ? BLR,non-stop,No info,6245,5,18,14,15,16,45,150,41.63333333333333
38,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,19225,3,6,7,0,13,15,375,51.266666666666666
39,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14924,6,3,7,5,19,0,715,20.87272727272727
40,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,9646,5,21,7,5,18,10,665,14.505263157894737
41,Air India,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,8714,3,15,6,45,15,15,510,17.08627450980392
42,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,5,18,20,55,19,0,1325,9.33811320754717
43,Air Asia,Banglore,Delhi,BLR ? DEL,non-stop,No info,3383,5,6,11,10,13,55,165,20.503030303030304
44,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13062,3,21,9,0,21,0,720,18.141666666666666
45,SpiceJet,Banglore,New Delhi,BLR ? DEL,non-stop,No check-in baggage included,3527,3,24,5,45,8,35,170,20.74705882352941
46,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,5,27,4,0,6,50,170,23.194117647058825
47,Air India,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4667,5,3,11,40,13,55,135,34.57037037037037
48,Air India,Kolkata,Banglore,CCU ? HYD ? BLR,1 stop,No info,6117,5,15,19,0,11,5,965,6.338860103626943
49,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,In-flight meal not included,11150,6,27,23,5,19,0,1195,9.330543933054393
50,Jet Airways,Delhi,Cochin,DEL ? COK,non-stop,In-flight meal not included,7202,3,9,11,0,14,15,195,36.93333333333333
51,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,12121,5,1,9,35,10,55,1520,7.974342105263158
52,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,4377,3,24,22,20,1,10,170,25.74705882352941
53,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,6,18,21,15,0,15,180,21.905555555555555
54,Air Asia,Banglore,Delhi,BLR ? DEL,non-stop,No info,4483,4,3,23,55,2,45,170,26.370588235294118
55,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14231,3,24,19,45,12,0,975,14.595897435897436
56,Air India,Banglore,New Delhi,BLR ? BOM ? AMD ? DEL,2 stops,No info,17345,3,1,8,50,23,55,905,19.165745856353592
57,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,7414,3,6,7,5,9,20,135,54.91851851851852
58,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,8073,5,6,19,0,1,30,390,20.7
59,Vistara,Mumbai,Hyderabad,BOM ? DEL ? HYD,1 stop,No info,12395,3,6,15,40,16,45,1505,8.235880398671096
60,Air India,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,8366,6,6,9,25,21,50,745,11.229530201342282
